league	apm	hotkeys	minimap	supply	mannered	unique	ami	avi	aum	auv	sq	workers
d	c	low medium high	c	c	c	c	c	c	c	c	c	c
class
6	119.916666667	medium	68	2.77649236465	1	7	1232.67281106	393.290322581	1594.84792627	1971.4516129	31.6899994841	2.66543267006
7	131.25	medium	177	3.83435582822	1	10	1480.19083969	552.122137405	959.095419847	1280.74427481	67.4538220428	2.8527607362
7	149.863636364	high	140	6.51840490798	0	16	1355.32319392	663.543726236	634.410646388	648.927756654	86.3019657053	3.68098159509
4	68.9285714286	low	8	5.08905852417	1	5	645.875	163.0	275.1875	356.575	53.0875826167	2.4427480916
5	94.3703703704	low	92	4.35052827843	1	6	1005.98765432	322.469135802	476.358024691	1398.55555556	39.9283784482	2.57302672467
7	126.803571429	medium	103	2.67777447188	0	9	1088.39762611	394.492581602	603.90504451	381.854599407	69.8351459986	3.48110681345
6	154.461538462	high	65	1.28452151574	0	7	1321.70886076	366.481012658	202.373417722	548.525316456	89.2042263827	2.31213872832
4	102.173913043	medium	17	4.51807228916	0	8	1179.17910448	361.432835821	1530.78358209	485.410447761	47.5585021039	3.61445783133
4	87.9090909091	medium	135	12.568735271	0	6	1074.84615385	334.523076923	591.807692308	801.9	54.1889538345	3.48782403771
5	191.482758621	medium	241	3.45821325648	0	8	717.443181818	157.090909091	384.784090909	157.863636364	61.5577971752	4.28818443804
3	108.444444444	low	111	2.7972027972	0	10	1224.9537037	519.777777778	3487.61574074	1315.48148148	26.9643060167	2.32167832168
4	32.6666666667	low	13	1.13378684807	0	5	534.943820225	89.7078651685	523.595505618	145.685393258	42.2349135386	1.49659863946
6	131.038461538	high	117	7.07395498392	0	6	1189.23566879	217.987261146	429.560509554	281.649681529	77.6324590174	2.89389067524
6	180.653846154	medium	46	3.2154340836	0	8	1159.87341772	352.911392405	613.778481013	556.772151899	65.254997623	4.05144694534
7	176.677419355	medium	117	8.19672131148	0	7	1373.15217391	315.217391304	473.543478261	1238.69021739	60.3629288372	4.32786885246
7	186.346153846	medium	59	1.92926045016	0	8	1667.6433121	439.133757962	466.343949045	192.0	113.879497531	3.08681672026
6	97.6923076923	medium	19	18.9701897019	0	4	823.815789474	101.263157895	230.657894737	125.631578947	78.7065120194	5.20325203252
4	80.7826086957	medium	56	6.57414170928	1	9	1103.55072464	348.637681159	1195.97826087	393.586956522	51.6398807206	2.49817384953
4	51.2727272727	medium	32	10.6951871658	0	7	725.877862595	129.58778626	466.755725191	245.633587786	51.1177186172	1.83346065699
1	24.3548387097	low	2	12.2928915019	0	7	653.191489362	153.276595745	1639.78723404	724.367021277	6.783997693	1.05825761625
6	103.909090909	low	8	4.6875	1	5	751.846153846	99.6923076923	223.692307692	149.030769231	73.6020189329	4.78125
3	53.0416666667	low	14	6.4148253742	0	9	656.830985915	256.901408451	428.11971831	970.098591549	30.3100758844	2.05274411974
4	86.7142857143	medium	16	3.5799522673	1	5	749.418604651	196.093023256	356.802325581	106.372093023	70.5036531563	3.5799522673
3	32.1428571429	low	5	13.1264916468	0	4	882.470588235	242.070588235	247.117647059	299.717647059	73.2765816816	3.50835322196
3	31.6666666667	low	19	1.62866449511	0	6	688.467741935	225.935483871	803.467741935	253.459677419	40.1363885871	1.90553745928
5	98.5555555556	medium	29	4.6685340803	0	9	896.605504587	247.339449541	270.0	270.80733945	74.5949521868	2.4649859944
5	78.8235294118	medium	27	5.09683995923	0	8	781.9	209.44	226.5	169.22	78.2100118341	3.30275229358
6	150.294117647	medium	60	9.17431192661	0	6	1130.4040404	212.202020202	488.343434343	139.383838384	78.9042578495	4.64831804281
5	82.5882352941	high	23	6.09137055838	0	7	957.5	271.2	255.79	208.86	83.9712098099	4.1421319797
6	143.176470588	medium	29	16.2436548223	0	6	1031.21212121	215.595959596	266.767676768	197.414141414	84.8747760996	4.1421319797
5	55.7777777778	medium	39	8.64553314121	1	6	727.924528302	149.283018868	285.386792453	106.641509434	73.0654106312	2.59365994236
5	87.7333333333	low	6	9.16380297824	0	6	636.404494382	141.662921348	289.764044944	200.157303371	60.5097623241	3.71134020619
5	60.5333333333	low	45	2.29095074456	0	5	409.777777778	82.3111111111	167.644444444	95.3777777778	68.567313891	2.26804123711
6	130.454545455	medium	7	12.6984126984	0	3	599.230769231	146.707692308	175.153846154	72.3692307692	82.8651156093	2.28571428571
6	90.6363636364	medium	38	9.52380952381	0	7	581.060606061	158.545454545	206.515151515	107.818181818	74.1982208173	2.95238095238
2	46.0	low	74	4.04203718674	1	12	948.015873016	226.412698413	1439.85714286	166.722222222	37.9486597066	2.61924009701
2	40.2666666667	low	11	2.34466588511	1	3	350.91954023	87.5402298851	282.701149425	147.620689655	48.7654772673	2.81359906213
2	39.4	low	8	9.37866354045	0	7	393.977272727	99.2727272727	283.397727273	116.204545455	53.9848968008	1.82883939039
2	45.0	low	4	6.92840646651	0	4	541.287878788	94.303030303	197.727272727	281.71969697	54.4344188287	1.20092378753
2	53.2272727273	low	14	10.0076982294	0	7	606.79389313	198.351145038	345.610687023	662.938931298	36.5373051095	1.84757505774
2	44.1304347826	low	9	2.23546944858	1	7	730.220588235	170.117647059	681.397058824	285.183823529	42.5894440482	2.23546944858
2	49.652173913	low	9	20.1192250373	0	9	564.160583942	137.927007299	605.554744526	522.598540146	27.6732940278	2.63785394933
6	114.636363636	medium	31	9.18836140888	0	6	617.76119403	147.343283582	176.044776119	100.28358209	79.9311145232	3.21592649311
6	158.727272727	medium	17	6.12557427259	0	5	581.060606061	166.787878788	137.954545455	129.606060606	80.23222116	2.38897396631
6	110.266666667	medium	72	4.7225501771	0	4	416.551724138	106.114942529	174.885057471	189.666666667	58.6084710658	2.40850059032
6	127.466666667	medium	37	7.08382526564	0	6	414.76744186	122.604651163	219.76744186	212.046511628	53.3871727313	1.91263282172
6	152.428571429	medium	12	13.2211538462	1	8	694.880952381	178.476190476	208.392857143	148.357142857	76.1812410275	2.95673076923
6	130.928571429	medium	77	2.40384615385	0	6	648.705882353	175.811764706	202.294117647	164.129411765	72.9029764767	1.94711538462
6	159.714285714	medium	138	3.2414910859	0	7	1331.6064257	385.02811245	843.630522088	534.951807229	69.3042427661	1.77471636953
5	163.407407407	medium	159	6.80272108844	0	9	1245.09202454	448.588957055	1285.0	1406.47852761	44.7873944634	3.56215213358
6	77.9285714286	high	32	24.9066002491	0	4	948.072289157	135.710843373	203.313253012	75.4698795181	94.9022050166	3.88542963885
6	157.928571429	high	26	7.47198007472	0	10	961.097560976	264.195121951	217.012195122	195.073170732	88.0097157167	4.70734744707
6	91.7692307692	high	18	8.98587933248	0	4	674.125	82.4	170.1625	173.8375	71.8529157419	4.00513478819
6	159.153846154	high	15	7.70218228498	0	5	929.493670886	249.316455696	213.417721519	343.17721519	75.2596242416	4.77535301669
4	37.9090909091	low	12	0.0	1	5	800.859375	180.375	592.5546875	190.515625	53.8374011029	2.80063291139
7	121.277777778	medium	17	2.91545189504	0	8	780.666666667	165.79047619	154.619047619	178.00952381	82.136693678	5.48104956268
6	93.4444444444	high	117	6.80272108844	0	8	1153.75	289.384615385	614.105769231	178.913461538	75.5436432878	4.19825072886
7	120.714285714	medium	15	5.49882168107	0	8	845.968992248	282.170542636	212.209302326	193.093023256	83.9321261936	3.67635506677
6	137.176470588	low	13	14.9253731343	0	8	1161.06796117	314.718446602	281.067961165	574.951456311	74.4337011576	6.86567164179
6	119.076923077	medium	15	2.71370420624	0	7	443.157894737	95.5789473684	125.723684211	56.0789473684	83.730173592	2.60515603799
6	201.153846154	medium	26	5.42740841248	0	6	524.933333333	177.28	181.466666667	147.293333333	70.8346492885	2.27951153324
5	125.157894737	medium	136	7.9575596817	1	9	1343.24561404	353.824561404	781.192982456	250.622807018	78.5068748085	3.97877984085
5	113.375	medium	82	16.5198237885	1	7	940.0	197.217391304	338.163043478	99.6086956522	81.6701568282	3.76651982379
5	105.875	medium	25	16.5198237885	0	5	757.204301075	197.849462366	410.268817204	407.913978495	51.0468257178	3.76651982379
6	175.8125	medium	16	6.32911392405	0	9	1140.92783505	347.381443299	459.639175258	312.412371134	78.6476337762	5.37974683544
6	113.6875	medium	21	15.8227848101	0	6	1175.3125	272.833333333	185.572916667	148.635416667	106.026833423	3.98734177215
4	121.039215686	medium	386	0.985869208018	1	10	1032.81967213	412.170491803	969.675409836	285.298360656	59.5668300637	4.04206375288
4	119.882352941	low	574	1.31449227736	0	7	764.477124183	323.189542484	583.774509804	215.875816993	58.2075077452	2.01117318436
5	131.2	low	140	4.67289719626	0	6	588.068181818	100.545454545	174.727272727	121.954545455	73.7759152789	2.94392523364
6	122.428571429	low	47	1.1961722488	0	5	502.235294118	108.611764706	116.941176471	130.164705882	76.4465243312	3.08612440191
5	124.214285714	low	125	13.1578947368	0	7	441.547619048	66.8571428571	186.261904762	71.0119047619	70.1230759772	1.79425837321
6	175.961538462	low	44	10.3963612736	0	11	1385.32051282	475.384615385	579.102564103	308.397435897	91.6265126502	4.71734892788
6	104.375	low	27	12.6582278481	1	10	967.362637363	281.142857143	320.450549451	294.769230769	75.0965535053	3.60759493671
6	239.133333333	medium	16	9.49367088608	0	5	998.804347826	231.47826087	250.163043478	91.7173913043	94.7859136356	3.35443037975
6	166.434782609	medium	3	11.7647058824	1	10	1115.69343066	394.627737226	777.664233577	457.518248175	63.2558101172	3.22058823529
5	45.3684210526	medium	4	7.35294117647	0	10	888.272727273	273.6	330.618181818	254.909090909	72.6738505962	2.8125
6	111.411764706	medium	29	2.96150049358	0	9	1019.61165049	260.815533981	264.990291262	132.621359223	91.9048313219	4.02764067127
6	136.176470588	high	36	12.8331688055	0	10	868.846153846	279.846153846	229.759615385	216.942307692	81.513592484	3.73149062192
5	62.6153846154	high	5	14.4546649146	0	6	747.051282051	148.512820513	244.205128205	73.9230769231	81.256392537	0.0
4	79.1538461538	low	18	13.1406044678	0	5	839.090909091	152.727272727	311.688311688	171.246753247	71.2618046962	4.25755584757
4	160.833333333	medium	8	4.18994413408	0	5	999.863013699	163.287671233	303.424657534	156.369863014	81.1957860096	6.03351955307
4	60.8333333333	low	10	4.18994413408	0	5	719.594594595	53.4054054054	235.472972973	48.0540540541	79.4095891782	6.03351955307
4	65.3076923077	low	14	2.57731958763	0	5	958.875	132.0	496.375	142.2	66.2340866518	4.25257731959
4	82.9230769231	low	25	9.0206185567	0	7	816.075949367	128.405063291	367.848101266	112.936708861	69.1481719137	3.78865979381
7	118.666666667	low	30	5.60224089636	1	5	1488.98148148	357.185185185	624.398148148	420.87962963	85.2023635871	5.88235294118
6	72.6111111111	medium	34	3.73482726424	0	10	1104.86238532	311.486238532	308.440366972	168.440366972	92.0595916049	3.36134453782
7	88.2142857143	low	8	13.698630137	1	7	964.024390244	231.609756098	358.597560976	105.658536585	82.4153856143	4.18430884184
6	64.9285714286	low	12	6.22665006227	0	9	826.144578313	242.120481928	240.21686747	221.337349398	76.5123262036	3.36239103362
6	61.2142857143	medium	25	8.3135391924	0	6	801.034482759	197.149425287	194.137931034	187.862068966	79.7731970896	3.27790973872
3	85.55	low	37	2.52419015566	1	6	603.221757322	212.953974895	1051.68200837	252.811715481	28.0606660904	1.7416912074
4	87.9230769231	medium	79	2.94488851493	0	6	642.375	168.333333333	698.3625	1780.19583333	5.33333223098	2.0950778292
3	67.7142857143	low	25	1.92492781521	0	7	1006.98564593	225.224880383	449.602870813	257.220095694	69.4571865622	4.15784408085
4	98.7142857143	low	32	12.5944584383	0	7	749.75308642	136.49382716	218.271604938	155.50617284	75.1673889747	3.70277078086
4	67.9285714286	low	7	11.3350125945	0	5	612.804878049	144.390243902	213.109756098	432.963414634	49.8255593311	3.92947103275
4	57.2105263158	low	17	4.5045045045	0	4	726.842105263	51.0877192982	544.298245614	225.50877193	44.6868400973	2.81081081081
2	61.3939393939	low	18	1.54639175258	0	9	1040.30456853	208.162436548	2556.97461929	323.020304569	21.0699595231	2.90721649485
2	72.92	low	20	2.65604249668	0	8	902.418300654	143.895424837	818.137254902	229.385620915	46.7743209856	3.98406374502
3	69.65	low	35	21.4961306965	1	5	922.118644068	159.186440678	1036.1440678	611.677966102	32.5962387711	3.14703353396
6	94.4	low	48	2.57289879931	0	10	1082.60504202	363.966386555	266.529411765	225.680672269	92.4014031102	4.06518010292
3	44.8260869565	low	41	5.15084621045	0	3	520.510948905	123.094890511	260.948905109	349.364963504	46.3718322758	1.28035320088
4	115.823529412	low	58	6.03621730382	1	9	690.098039216	181.176470588	203.823529412	187.490196078	72.8447765616	2.89738430584
5	170.235294118	medium	16	7.04225352113	0	10	931.386138614	276.752475248	385.940594059	180.03960396	76.080678323	3.13883299799
5	153.944444444	medium	24	13.1455399061	0	9	1171.46788991	357.577981651	487.981651376	437.082568807	74.2725388598	4.45070422535
6	62.2941176471	medium	1	8.87573964497	0	8	944.903846154	308.153846154	537.980769231	517.25	56.4310997252	3.66863905325
6	126.352941176	medium	52	9.86193293886	0	5	1062.42718447	176.466019417	299.834951456	81.7184466019	91.3561507892	3.78698224852
6	57.0833333333	low	2	7.47384155456	0	6	838.985507246	87.4202898551	449.855072464	72.115942029	65.4047359218	3.31838565022
6	189.5	medium	34	8.96860986547	0	6	939.558823529	133.882352941	190.441176471	78.7205882353	95.6355649992	5.38116591928
